#file_name, lh, logg, meta, teff, vtur
Kurucz_fid241.txt,1.25,2.5,-0.5,9500,2.0
Kurucz_fid242.txt,1.25,3,-0.5,9500,2.0
Kurucz_fid243.txt,1.25,3.5,-0.5,9500,2.0
Kurucz_fid244.txt,1.25,4,-0.5,9500,2.0
Kurucz_fid245.txt,1.25,4.5,-0.5,9500,2.0
Kurucz_fid246.txt,1.25,5,-0.5,9500,2.0
Kurucz_fid247.txt,1.25,2,-0.5,9750,2.0
Kurucz_fid248.txt,1.25,2.5,-0.5,9750,2.0
Kurucz_fid249.txt,1.25,3,-0.5,9750,2.0
Kurucz_fid250.txt,1.25,3.5,-0.5,9750,2.0
Kurucz_fid251.txt,1.25,4,-0.5,9750,2.0
Kurucz_fid252.txt,1.25,4.5,-0.5,9750,2.0
Kurucz_fid253.txt,1.25,5,-0.5,9750,2.0
Kurucz_fid254.txt,1.25,2,-0.5,10000,2.0
Kurucz_fid255.txt,1.25,2.5,-0.5,10000,2.0
Kurucz_fid256.txt,1.25,3,-0.5,10000,2.0
Kurucz_fid257.txt,1.25,3.5,-0.5,10000,2.0
Kurucz_fid258.txt,1.25,4,-0.5,10000,2.0
Kurucz_fid259.txt,1.25,4.5,-0.5,10000,2.0
Kurucz_fid260.txt,1.25,5,-0.5,10000,2.0
Kurucz_fid261.txt,1.25,2,-0.5,10250,2.0
Kurucz_fid262.txt,1.25,2.5,-0.5,10250,2.0
Kurucz_fid263.txt,1.25,3,-0.5,10250,2.0
Kurucz_fid264.txt,1.25,3.5,-0.5,10250,2.0
Kurucz_fid265.txt,1.25,4,-0.5,10250,2.0
Kurucz_fid266.txt,1.25,4.5,-0.5,10250,2.0
Kurucz_fid267.txt,1.25,5,-0.5,10250,2.0
Kurucz_fid268.txt,1.25,2,-0.5,10500,2.0
Kurucz_fid269.txt,1.25,2.5,-0.5,10500,2.0
Kurucz_fid270.txt,1.25,3,-0.5,10500,2.0
Kurucz_fid271.txt,1.25,3.5,-0.5,10500,2.0
Kurucz_fid272.txt,1.25,4,-0.5,10500,2.0
Kurucz_fid273.txt,1.25,4.5,-0.5,10500,2.0
Kurucz_fid274.txt,1.25,5,-0.5,10500,2.0
Kurucz_fid275.txt,1.25,2,-0.5,10750,2.0
Kurucz_fid276.txt,1.25,2.5,-0.5,10750,2.0
Kurucz_fid277.txt,1.25,3,-0.5,10750,2.0
Kurucz_fid278.txt,1.25,3.5,-0.5,10750,2.0
Kurucz_fid279.txt,1.25,4,-0.5,10750,2.0
Kurucz_fid280.txt,1.25,4.5,-0.5,10750,2.0
Kurucz_fid281.txt,1.25,5,-0.5,10750,2.0
Kurucz_fid282.txt,1.25,2,-0.5,11000,2.0
Kurucz_fid283.txt,1.25,2.5,-0.5,11000,2.0
Kurucz_fid284.txt,1.25,3,-0.5,11000,2.0
Kurucz_fid285.txt,1.25,3.5,-0.5,11000,2.0
Kurucz_fid286.txt,1.25,4,-0.5,11000,2.0
Kurucz_fid287.txt,1.25,4.5,-0.5,11000,2.0
Kurucz_fid288.txt,1.25,5,-0.5,11000,2.0
Kurucz_fid289.txt,1.25,2,-0.5,11250,2.0
Kurucz_fid290.txt,1.25,2.5,-0.5,11250,2.0
Kurucz_fid291.txt,1.25,3,-0.5,11250,2.0
Kurucz_fid292.txt,1.25,3.5,-0.5,11250,2.0
Kurucz_fid293.txt,1.25,4,-0.5,11250,2.0
Kurucz_fid294.txt,1.25,4.5,-0.5,11250,2.0
Kurucz_fid295.txt,1.25,5,-0.5,11250,2.0
Kurucz_fid296.txt,1.25,2,-0.5,11500,2.0
Kurucz_fid297.txt,1.25,2.5,-0.5,11500,2.0
Kurucz_fid298.txt,1.25,3,-0.5,11500,2.0
Kurucz_fid299.txt,1.25,3.5,-0.5,11500,2.0
Kurucz_fid300.txt,1.25,4,-0.5,11500,2.0
Kurucz_fid301.txt,1.25,4.5,-0.5,11500,2.0
Kurucz_fid302.txt,1.25,5,-0.5,11500,2.0
Kurucz_fid303.txt,1.25,2,-0.5,11750,2.0
Kurucz_fid304.txt,1.25,2.5,-0.5,11750,2.0
Kurucz_fid305.txt,1.25,3,-0.5,11750,2.0
Kurucz_fid306.txt,1.25,3.5,-0.5,11750,2.0
Kurucz_fid307.txt,1.25,4,-0.5,11750,2.0
Kurucz_fid308.txt,1.25,4.5,-0.5,11750,2.0
Kurucz_fid309.txt,1.25,5,-0.5,11750,2.0
Kurucz_fid310.txt,1.25,2.5,-0.5,12000,2.0
Kurucz_fid311.txt,1.25,3,-0.5,12000,2.0
Kurucz_fid312.txt,1.25,3.5,-0.5,12000,2.0
Kurucz_fid313.txt,1.25,4,-0.5,12000,2.0
Kurucz_fid314.txt,1.25,4.5,-0.5,12000,2.0
Kurucz_fid315.txt,1.25,5,-0.5,12000,2.0
Kurucz_fid316.txt,1.25,2.5,-0.5,12250,2.0
Kurucz_fid317.txt,1.25,3,-0.5,12250,2.0
Kurucz_fid318.txt,1.25,3.5,-0.5,12250,2.0
Kurucz_fid319.txt,1.25,4,-0.5,12250,2.0
Kurucz_fid320.txt,1.25,4.5,-0.5,12250,2.0
Kurucz_fid321.txt,1.25,5,-0.5,12250,2.0
Kurucz_fid322.txt,1.25,2.5,-0.5,12500,2.0
Kurucz_fid323.txt,1.25,3,-0.5,12500,2.0
Kurucz_fid324.txt,1.25,3.5,-0.5,12500,2.0
Kurucz_fid325.txt,1.25,4,-0.5,12500,2.0
Kurucz_fid326.txt,1.25,4.5,-0.5,12500,2.0
Kurucz_fid327.txt,1.25,5,-0.5,12500,2.0
Kurucz_fid328.txt,1.25,2.5,-0.5,12750,2.0
Kurucz_fid329.txt,1.25,3,-0.5,12750,2.0
Kurucz_fid330.txt,1.25,3.5,-0.5,12750,2.0
Kurucz_fid331.txt,1.25,4,-0.5,12750,2.0
Kurucz_fid332.txt,1.25,4.5,-0.5,12750,2.0
Kurucz_fid333.txt,1.25,5,-0.5,12750,2.0
Kurucz_fid334.txt,1.25,2.5,-0.5,13000,2.0
Kurucz_fid335.txt,1.25,3,-0.5,13000,2.0
Kurucz_fid336.txt,1.25,3.5,-0.5,13000,2.0
Kurucz_fid337.txt,1.25,4,-0.5,13000,2.0
Kurucz_fid338.txt,1.25,4.5,-0.5,13000,2.0
Kurucz_fid339.txt,1.25,5,-0.5,13000,2.0
Kurucz_fid340.txt,1.25,2,-0.5,14000,2.0
Kurucz_fid341.txt,1.25,2.5,-0.5,14000,2.0
Kurucz_fid342.txt,1.25,3,-0.5,14000,2.0
Kurucz_fid343.txt,1.25,3.5,-0.5,14000,2.0
Kurucz_fid344.txt,1.25,4,-0.5,14000,2.0
Kurucz_fid345.txt,1.25,4.5,-0.5,14000,2.0
Kurucz_fid346.txt,1.25,5,-0.5,14000,2.0
Kurucz_fid347.txt,1.25,2.5,-0.5,15000,2.0
Kurucz_fid348.txt,1.25,3,-0.5,15000,2.0
Kurucz_fid349.txt,1.25,3.5,-0.5,15000,2.0
Kurucz_fid350.txt,1.25,4,-0.5,15000,2.0
Kurucz_fid351.txt,1.25,4.5,-0.5,15000,2.0
Kurucz_fid352.txt,1.25,5,-0.5,15000,2.0
Kurucz_fid353.txt,1.25,2.5,-0.5,16000,2.0
Kurucz_fid354.txt,1.25,3,-0.5,16000,2.0
Kurucz_fid355.txt,1.25,3.5,-0.5,16000,2.0
Kurucz_fid356.txt,1.25,4,-0.5,16000,2.0
Kurucz_fid357.txt,1.25,4.5,-0.5,16000,2.0
Kurucz_fid358.txt,1.25,5,-0.5,16000,2.0
Kurucz_fid359.txt,1.25,2.5,-0.5,17000,2.0
Kurucz_fid360.txt,1.25,3,-0.5,17000,2.0
Kurucz_fid361.txt,1.25,3.5,-0.5,17000,2.0
Kurucz_fid362.txt,1.25,4,-0.5,17000,2.0
Kurucz_fid363.txt,1.25,4.5,-0.5,17000,2.0
Kurucz_fid364.txt,1.25,5,-0.5,17000,2.0
Kurucz_fid365.txt,1.25,2.5,-0.5,18000,2.0
Kurucz_fid366.txt,1.25,3,-0.5,18000,2.0
Kurucz_fid367.txt,1.25,3.5,-0.5,18000,2.0
Kurucz_fid368.txt,1.25,4,-0.5,18000,2.0
Kurucz_fid369.txt,1.25,4.5,-0.5,18000,2.0
Kurucz_fid370.txt,1.25,5,-0.5,18000,2.0
Kurucz_fid371.txt,1.25,2.5,-0.5,19000,2.0
Kurucz_fid372.txt,1.25,3,-0.5,19000,2.0
Kurucz_fid373.txt,1.25,3.5,-0.5,19000,2.0
Kurucz_fid374.txt,1.25,4,-0.5,19000,2.0
Kurucz_fid375.txt,1.25,4.5,-0.5,19000,2.0
Kurucz_fid376.txt,1.25,5,-0.5,19000,2.0
Kurucz_fid377.txt,1.25,3,-0.5,20000,2.0
Kurucz_fid378.txt,1.25,3.5,-0.5,20000,2.0
Kurucz_fid379.txt,1.25,4,-0.5,20000,2.0
Kurucz_fid380.txt,1.25,4.5,-0.5,20000,2.0
Kurucz_fid381.txt,1.25,5,-0.5,20000,2.0
Kurucz_fid382.txt,1.25,3,-0.5,21000,2.0
Kurucz_fid383.txt,1.25,3.5,-0.5,21000,2.0
Kurucz_fid384.txt,1.25,4,-0.5,21000,2.0
Kurucz_fid385.txt,1.25,4.5,-0.5,21000,2.0
Kurucz_fid386.txt,1.25,5,-0.5,21000,2.0
Kurucz_fid387.txt,1.25,3,-0.5,22000,2.0
Kurucz_fid388.txt,1.25,3.5,-0.5,22000,2.0
Kurucz_fid389.txt,1.25,4,-0.5,22000,2.0
Kurucz_fid390.txt,1.25,4.5,-0.5,22000,2.0
Kurucz_fid391.txt,1.25,5,-0.5,22000,2.0
Kurucz_fid392.txt,1.25,3,-0.5,23000,2.0
Kurucz_fid393.txt,1.25,3.5,-0.5,23000,2.0
Kurucz_fid394.txt,1.25,4,-0.5,23000,2.0
Kurucz_fid395.txt,1.25,4.5,-0.5,23000,2.0
Kurucz_fid396.txt,1.25,5,-0.5,23000,2.0
Kurucz_fid397.txt,1.25,3,-0.5,24000,2.0
Kurucz_fid398.txt,1.25,3.5,-0.5,24000,2.0
Kurucz_fid399.txt,1.25,4,-0.5,24000,2.0
Kurucz_fid400.txt,1.25,4.5,-0.5,24000,2.0
Kurucz_fid401.txt,1.25,5,-0.5,24000,2.0
Kurucz_fid402.txt,1.25,3,-0.5,25000,2.0
Kurucz_fid403.txt,1.25,3.5,-0.5,25000,2.0
Kurucz_fid404.txt,1.25,4,-0.5,25000,2.0
Kurucz_fid405.txt,1.25,4.5,-0.5,25000,2.0
Kurucz_fid406.txt,1.25,5,-0.5,25000,2.0
Kurucz_fid407.txt,1.25,3,-0.5,26000,2.0
Kurucz_fid408.txt,1.25,3.5,-0.5,26000,2.0
Kurucz_fid409.txt,1.25,4,-0.5,26000,2.0
Kurucz_fid410.txt,1.25,4.5,-0.5,26000,2.0
Kurucz_fid411.txt,1.25,5,-0.5,26000,2.0
Kurucz_fid412.txt,1.25,3.5,-0.5,27000,2.0
Kurucz_fid413.txt,1.25,4,-0.5,27000,2.0
Kurucz_fid414.txt,1.25,4.5,-0.5,27000,2.0
Kurucz_fid415.txt,1.25,5,-0.5,27000,2.0
Kurucz_fid416.txt,1.25,3.5,-0.5,28000,2.0
Kurucz_fid417.txt,1.25,4,-0.5,28000,2.0
Kurucz_fid418.txt,1.25,4.5,-0.5,28000,2.0
Kurucz_fid419.txt,1.25,5,-0.5,28000,2.0
Kurucz_fid420.txt,1.25,3.5,-0.5,29000,2.0
Kurucz_fid421.txt,1.25,4,-0.5,29000,2.0
Kurucz_fid422.txt,1.25,4.5,-0.5,29000,2.0
Kurucz_fid423.txt,1.25,5,-0.5,29000,2.0
Kurucz_fid424.txt,1.25,3.5,-0.5,30000,2.0
Kurucz_fid425.txt,1.25,4,-0.5,30000,2.0
Kurucz_fid426.txt,1.25,4.5,-0.5,30000,2.0
Kurucz_fid427.txt,1.25,5,-0.5,30000,2.0
Kurucz_fid428.txt,1.25,3.5,-0.5,31000,2.0
Kurucz_fid429.txt,1.25,4,-0.5,31000,2.0
Kurucz_fid430.txt,1.25,4.5,-0.5,31000,2.0
Kurucz_fid431.txt,1.25,5,-0.5,31000,2.0
Kurucz_fid432.txt,1.25,4,-0.5,32000,2.0
Kurucz_fid433.txt,1.25,4.5,-0.5,32000,2.0
Kurucz_fid434.txt,1.25,5,-0.5,32000,2.0
Kurucz_fid435.txt,1.25,4,-0.5,33000,2.0
Kurucz_fid436.txt,1.25,4.5,-0.5,33000,2.0
Kurucz_fid437.txt,1.25,5,-0.5,33000,2.0
Kurucz_fid438.txt,1.25,4,-0.5,34000,2.0
Kurucz_fid439.txt,1.25,4.5,-0.5,34000,2.0
Kurucz_fid440.txt,1.25,5,-0.5,34000,2.0
Kurucz_fid441.txt,1.25,4,-0.5,35000,2.0
Kurucz_fid442.txt,1.25,4.5,-0.5,35000,2.0
Kurucz_fid443.txt,1.25,5,-0.5,35000,2.0
Kurucz_fid444.txt,1.25,4,-0.5,36000,2.0
Kurucz_fid445.txt,1.25,4.5,-0.5,36000,2.0
Kurucz_fid446.txt,1.25,5,-0.5,36000,2.0
Kurucz_fid447.txt,1.25,4,-0.5,37000,2.0
Kurucz_fid448.txt,1.25,4.5,-0.5,37000,2.0
Kurucz_fid449.txt,1.25,5,-0.5,37000,2.0
Kurucz_fid450.txt,1.25,4,-0.5,38000,2.0
Kurucz_fid451.txt,1.25,4.5,-0.5,38000,2.0
Kurucz_fid452.txt,1.25,5,-0.5,38000,2.0
Kurucz_fid453.txt,1.25,4,-0.5,39000,2.0
Kurucz_fid454.txt,1.25,4.5,-0.5,39000,2.0
Kurucz_fid455.txt,1.25,5,-0.5,39000,2.0
Kurucz_fid456.txt,1.25,4.5,-0.5,40000,2.0
Kurucz_fid457.txt,1.25,5,-0.5,40000,2.0
Kurucz_fid458.txt,1.25,4.5,-0.5,41000,2.0
Kurucz_fid459.txt,1.25,5,-0.5,41000,2.0
Kurucz_fid460.txt,1.25,4.5,-0.5,42000,2.0
Kurucz_fid461.txt,1.25,5,-0.5,42000,2.0
Kurucz_fid462.txt,1.25,4.5,-0.5,43000,2.0
Kurucz_fid463.txt,1.25,5,-0.5,43000,2.0
Kurucz_fid464.txt,1.25,4.5,-0.5,44000,2.0
Kurucz_fid465.txt,1.25,5,-0.5,44000,2.0
Kurucz_fid466.txt,1.25,4.5,-0.5,45000,2.0
Kurucz_fid467.txt,1.25,5,-0.5,45000,2.0
Kurucz_fid468.txt,1.25,4.5,-0.5,46000,2.0
Kurucz_fid469.txt,1.25,5,-0.5,46000,2.0
Kurucz_fid470.txt,1.25,4.5,-0.5,47000,2.0
Kurucz_fid471.txt,1.25,5,-0.5,47000,2.0
Kurucz_fid472.txt,1.25,4.5,-0.5,48000,2.0
Kurucz_fid473.txt,1.25,5,-0.5,48000,2.0
Kurucz_fid474.txt,1.25,4.5,-0.5,49000,2.0
Kurucz_fid475.txt,1.25,5,-0.5,49000,2.0
